[Header]
TITLE,NdTiGaO_multifield_He3Base._50K.dat
BYAPP,HeatCapacity,3.9.3,1.7
INFO,6.856,MASS:Sample Mass (mg)
INFO,0.005,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.3 Build 101,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3762095253.58596,,1857,29.1761,29.1761,0.011898048222065,9.89999989542412E-6,29.586455,0.63980938,248.44991,0.5619,158.13815,0.1488,406.58806,0.5619,5.2328995,45.705277,0.099918203,99.082273,0,0,1,,,,8.9267E-6,101.2224,875.35833,8.3974207,0
3762095597.28662,,1857,29.2588,29.2588,-0.011898048222065,9.89999989542412E-6,29.646435,0.60816511,248.08239,1.059,158.78697,0.1495,406.86936,1.059,0.098154629,46.8221,0.13570139,98.785776,0,0,1,,,,8.7295E-6,91.41055,878.91113,8.3680345,0
3762095952.62995,,1857,29.2693,29.2693,-0.0832863375544548,9.89999989542412E-6,29.686552,0.5976084,246.31198,0.5142,159.16222,0.1499,405.4742,0.4919,7.1385364,43.6099,0,100,0,0,1,,,,9.2978E-6,93.6442,881.29137,8.2970896,0
3762097714.75418,,1857,26.362,26.362,-0.0832863375544548,9.89999989542412E-6,26.763133,0.54240716,197.07209,0.8786,130.98963,0.1146,328.06172,0.8711,2.9367883,37.288379,0,100,0,0,1,,,,8.798E-6,87.2198,716.26528,7.3635658,0
3762098271.0779,,1857,26.2229,26.2229,-0.0356941446661949,9.89999989542412E-6,26.588403,0.51156134,199.06456,0.4566,129.42587,0.1129,328.49043,0.4424,0.087153744,38.207813,0,100,0,0,1,,,,8.5975E-6,74.57676,706.94317,7.4868943,0
3762098564.46649,,1857,26.2547,26.2547,-0.130878537893295,9.89999989542412E-6,26.6091,0.5303687,199.96891,0.4591,129.6014,0.1131,329.57031,0.4591,0.34466329,40.152644,0.078887939,99.178348,0,0,1,,,,8.233E-6,76.41563,708.04419,7.5150575,0
3762100151.32552,,1857,23.6515,23.6515,-0.16657267510891,9.89999989542412E-6,24.014381,0.50606198,156.72383,0.5251,106.45402,0.09352,263.17785,0.5167,8.0527205,33.382064,0,100,0,0,1,,,,7.8838E-6,80.30529,576.69047,6.5262492,0
3762100616.99795,,1857,23.574,23.574,-0.16657267510891,9.89999989542412E-6,23.910764,0.46730187,157.03392,0.386,105.60633,0.09282,262.64025,0.3747,0.12042923,33.407718,0,100,0,0,1,,,,7.8617E-6,66.76413,571.72465,6.5674991,0
3762100877.65459,,1857,23.5827,23.5827,-0.107082441449165,9.89999989542412E-6,23.913648,0.47842419,157.38159,0.2606,105.61066,0.09282,262.99226,0.2606,6.9740737,34.481832,0.042943356,99.482518,0,0,1,,,,7.6412E-6,66.81544,571.86255,6.5812458,0
3762102271.65272,,1857,21.2367,21.2367,-0.19036877155304,9.89999989542412E-6,21.561135,0.45314708,122.26141,0.3527,86.250032,0.07712,208.51145,0.3442,1.6183114,29.288395,0,100,0,0,1,,,,7.1193E-6,68.96366,464.88252,5.6704536,0
